Customer ID,Store Name,Transaction Date,Department,Product Name,Quantity,Unit_price,Total amount,Discount Amount,Final Amount,Sales Size,Loyalty Points,Discount Status,Unit Price Status,Quantity Status,Customer Loyality Rating
1106,Valueplus Market,18-03-2025,Frozen Foods,Onions,1,21,21,0,21,Medium Sales,58,No Discount,Medium,Small Order,Low Loyality
1108,Freshmart Downtown,23-09-2024,Personal Care,Chicken Breast,5,15,75,0,73,High Sales,469,No Discount,Medium,Bulk Order,Premium Loyality
1126,Valueplus Market,27-08-2024,Beverages,Bananas,1,11,11,1,10,Small Sales,172,Low Discount,Medium,Small Order,Medium Loyality
1132,Corner Grocery,19-10-2024,Personal Care,Bread,1,9,9,0,9,Small Sales,79,No Discount,Low,Small Order,Low Loyality
1138,Freshmart Downtown,23-11-2024,Personal Care,Milk,3,4,12,2,9,Small Sales,0,Low Discount,Low,Medium Order,Low Loyality
1153,Megamart Westside,05-07-2025,Snacks & Candy,Apples,4,29,116,18,100,High Sales,357,Medium Discount,Medium,Medium Order,Medium Loyality
1154,Valueplus Market,02-02-2025,Frozen Foods,Apples,4,15,60,12,47,High Sales,473,Medium Discount,Medium,Medium Order,Premium Loyality
1157,City Fresh Store,23-04-2024,Produce,Orange Juice,1,18,18,2,16,Small Sales,188,Low Discount,Medium,Small Order,Medium Loyality
1158,City Fresh Store,01-11-2023,Produce,Tomatoes,3,8,24,2,23,Medium Sales,8,Low Discount,Low,Medium Order,Low Loyality
1166,City Fresh Store,11-09-2024,Personal Care,Onions,2,4,8,1,6,Small Sales,52,Low Discount,Low,Medium Order,Low Loyality
1172,Supersave Central,22-10-2023,Health & Wellness,Onions,3,1,3,3,1,Small Sales,81,Low Discount,Low,Medium Order,Low Loyality
1185,Megamart Westside,12-12-2023,Meat & Seafood,Milk,2,21,42,4,38,Medium Sales,134,Low Discount,Medium,Medium Order,Medium Loyality
1187,Megamart Westside,26-02-2024,Frozen Foods,Bread,1,26,26,0,26,Medium Sales,500,No Discount,Medium,Small Order,Premium Loyality
1188,Corner Grocery,16-01-2025,Beverages,Bananas,4,11,44,0,43,Medium Sales,347,No Discount,Medium,Medium Order,Medium Loyality
1195,Valueplus Market,23-09-2023,Canned Goods,Onions,3,15,45,3,42,Medium Sales,497,Low Discount,Medium,Medium Order,Premium Loyality
1197,City Fresh Store,13-05-2024,Beverages,Chicken Breast,1,8,8,2,6,Small Sales,426,Low Discount,Low,Small Order,Premium Loyality
1200,Corner Grocery,25-10-2024,Personal Care,Cheese,5,21,105,5,100,High Sales,479,Low Discount,Medium,Bulk Order,Premium Loyality
1201,City Fresh Store,12-02-2024,Beverages,Cereal,4,14,56,6,52,High Sales,460,Medium Discount,Medium,Medium Order,Premium Loyality
1207,Greengrocer Plaza,06-02-2025,Canned Goods,Potatoes,1,19,19,4,15,Small Sales,302,Low Discount,Medium,Small Order,Medium Loyality
1224,Megamart Westside,08-10-2024,Canned Goods,Orange Juice,3,7,21,4,18,Medium Sales,385,Low Discount,Low,Medium Order,Medium Loyality
1231,Valueplus Market,06-02-2025,Personal Care,Pasta,3,10,30,3,26,Medium Sales,49,Low Discount,Medium,Medium Order,Low Loyality
1241,City Fresh Store,18-10-2023,Frozen Foods,Cheese,1,5,5,1,4,Small Sales,484,Low Discount,Low,Small Order,Premium Loyality
1243,Corner Grocery,11-05-2024,Snacks & Candy,Milk,5,22,110,11,100,High Sales,194,Medium Discount,Medium,Bulk Order,Medium Loyality
1251,Megamart Westside,18-01-2024,Beverages,Bananas,3,10,30,2,27,Medium Sales,170,Low Discount,Medium,Medium Order,Medium Loyality
1256,Freshmart Downtown,09-02-2024,Dairy,Cereal,3,15,45,9,36,Medium Sales,314,Medium Discount,Medium,Medium Order,Medium Loyality
1266,City Fresh Store,10-05-2024,Health & Wellness,Salmon,5,24,120,24,98,High Sales,174,High Discount,Medium,Bulk Order,Medium Loyality
1272,Valueplus Market,19-05-2024,Snacks & Candy,Ground Beef,2,8,16,1,16,Small Sales,148,Low Discount,Low,Medium Order,Medium Loyality
1274,Familyfood Express,21-09-2024,Personal Care,Cereal,1,8,8,1,7,Small Sales,37,Low Discount,Low,Small Order,Low Loyality
1282,Supersave Central,18-10-2023,Snacks & Candy,Yogurt,5,8,40,4,37,Medium Sales,410,Low Discount,Low,Bulk Order,Premium Loyality
1307,Greengrocer Plaza,29-07-2024,Health & Wellness,Tomatoes,2,1,2,1,2,Small Sales,249,Low Discount,Low,Medium Order,Medium Loyality
1310,Greengrocer Plaza,14-07-2024,Health & Wellness,Eggs,4,29,116,1,113,High Sales,218,Low Discount,Medium,Medium Order,Medium Loyality
1317,Freshmart Downtown,10-03-2025,Beverages,Onions,2,30,60,9,50,High Sales,52,Medium Discount,Medium,Medium Order,Low Loyality
1319,Megamart Westside,01-11-2023,Beverages,Onions,5,11,55,8,47,High Sales,381,Medium Discount,Medium,Bulk Order,Medium Loyality
1320,Megamart Westside,02-06-2025,Household Items,Yogurt,4,10,40,6,34,Medium Sales,493,Medium Discount,Medium,Medium Order,Premium Loyality
1333,Corner Grocery,01-12-2024,Snacks & Candy,Salmon,1,19,19,2,17,Small Sales,450,Low Discount,Medium,Small Order,Premium Loyality
1339,Supersave Central,23-03-2025,Canned Goods,Orange Juice,4,29,116,17,98,High Sales,137,Medium Discount,Medium,Medium Order,Medium Loyality
1341,Supersave Central,15-04-2024,Meat & Seafood,Milk,1,20,20,2,18,Medium Sales,145,Low Discount,Medium,Small Order,Medium Loyality
1349,Corner Grocery,15-09-2023,Produce,Onions,3,8,24,0,23,Medium Sales,174,No Discount,Low,Medium Order,Medium Loyality
1356,Greengrocer Plaza,09-06-2024,Snacks & Candy,Cheese,2,13,26,4,21,Medium Sales,33,Low Discount,Medium,Medium Order,Low Loyality
1372,Corner Grocery,25-03-2024,Meat & Seafood,Tomatoes,3,16,48,4,44,Medium Sales,223,Low Discount,Medium,Medium Order,Medium Loyality
1379,City Fresh Store,15-10-2023,Frozen Foods,Yogurt,2,12,24,5,19,Medium Sales,328,Low Discount,Medium,Medium Order,Medium Loyality
1387,Megamart Westside,31-12-2024,Household Items,Eggs,3,26,78,8,70,High Sales,163,Medium Discount,Medium,Medium Order,Medium Loyality
1400,City Fresh Store,11-09-2023,Canned Goods,Eggs,3,6,18,4,15,Small Sales,448,Low Discount,Low,Medium Order,Premium Loyality
1410,Corner Grocery,30-11-2024,Dairy,Orange Juice,4,21,84,17,68,High Sales,218,Medium Discount,Medium,Medium Order,Medium Loyality
1420,Supersave Central,28-07-2025,Beverages,Bread,2,12,24,2,22,Medium Sales,374,Low Discount,Medium,Medium Order,Medium Loyality
1422,Greengrocer Plaza,17-11-2023,Meat & Seafood,Salmon,5,15,75,15,61,High Sales,166,Medium Discount,Medium,Bulk Order,Medium Loyality
1430,Freshmart Downtown,22-11-2024,Dairy,Bananas,2,22,44,9,35,Medium Sales,249,Medium Discount,Medium,Medium Order,Medium Loyality
1434,Quickstop Market,15-10-2024,Health & Wellness,Onions,2,21,42,8,33,Medium Sales,431,Medium Discount,Medium,Medium Order,Premium Loyality
1436,Megamart Westside,24-06-2024,Health & Wellness,Cheese,1,9,9,1,8,Small Sales,41,Low Discount,Low,Small Order,Low Loyality
1439,Greengrocer Plaza,26-05-2025,Beverages,Apples,2,22,44,4,39,Medium Sales,37,Low Discount,Medium,Medium Order,Low Loyality
1440,City Fresh Store,21-02-2025,Household Items,Salmon,4,6,24,2,22,Medium Sales,383,Low Discount,Low,Medium Order,Medium Loyality
1444,City Fresh Store,11-10-2023,Personal Care,Cereal,5,12,60,9,52,High Sales,200,Medium Discount,Medium,Bulk Order,Medium Loyality
1452,Megamart Westside,04-11-2023,Produce,Tomatoes,1,18,18,2,15,Small Sales,99,Low Discount,Medium,Small Order,Low Loyality
1464,Valueplus Market,09-10-2023,Frozen Foods,Cereal,5,2,10,2,7,Small Sales,402,Low Discount,Low,Bulk Order,Premium Loyality
1470,Supersave Central,24-08-2024,Health & Wellness,Tomatoes,1,18,18,0,18,Small Sales,31,No Discount,Medium,Small Order,Low Loyality
1472,Unknown,08-12-2024,Household Items,Milk,5,25,125,3,124,High Sales,154,Low Discount,Medium,Bulk Order,Medium Loyality
1474,Megamart Westside,11-09-2023,Health & Wellness,Tomatoes,4,18,72,0,72,High Sales,265,No Discount,Medium,Medium Order,Medium Loyality
1475,Quickstop Market,04-06-2024,Snacks & Candy,Bread,1,25,25,4,21,Medium Sales,373,Low Discount,Medium,Small Order,Medium Loyality
1478,Valueplus Market,01-03-2025,Meat & Seafood,Tomatoes,5,29,145,14,128,High Sales,63,Medium Discount,Medium,Bulk Order,Low Loyality
1480,Freshmart Downtown,23-04-2024,Produce,Cereal,5,3,15,0,15,Small Sales,298,No Discount,Low,Bulk Order,Medium Loyality
1483,Familyfood Express,30-05-2024,Canned Goods,Rice,2,25,50,7,42,High Sales,265,Medium Discount,Medium,Medium Order,Medium Loyality
1488,Greengrocer Plaza,18-10-2023,Produce,Ground Beef,3,30,90,3,86,High Sales,437,Low Discount,Medium,Medium Order,Premium Loyality
1496,Freshmart Downtown,27-08-2024,Canned Goods,Carrots,1,6,6,1,5,Small Sales,440,Low Discount,Low,Small Order,Premium Loyality
1502,Quickstop Market,17-10-2023,Produce,Potatoes,5,6,30,0,29,Medium Sales,26,No Discount,Low,Bulk Order,Low Loyality
1505,Megamart Westside,16-04-2025,Meat & Seafood,Rice,3,22,66,7,60,High Sales,424,Medium Discount,Medium,Medium Order,Premium Loyality
1508,Corner Grocery,15-02-2024,Produce,Pasta,2,21,42,9,34,Medium Sales,67,Medium Discount,Medium,Medium Order,Low Loyality
1510,Greengrocer Plaza,23-09-2023,Produce,Chicken Breast,4,30,120,4,116,High Sales,82,Low Discount,Medium,Medium Order,Low Loyality
1514,City Fresh Store,04-06-2025,Beverages,Ground Beef,4,17,68,3,65,High Sales,196,Low Discount,Medium,Medium Order,Medium Loyality
1519,Corner Grocery,18-10-2023,Beverages,Bananas,4,12,48,10,39,Medium Sales,22,Medium Discount,Medium,Medium Order,Low Loyality
1525,Freshmart Downtown,23-04-2025,Health & Wellness,Yogurt,4,11,44,6,36,Medium Sales,442,Medium Discount,Medium,Medium Order,Premium Loyality
1528,Valueplus Market,21-07-2024,Dairy,Salmon,5,20,100,0,99,High Sales,97,No Discount,Medium,Bulk Order,Low Loyality
1530,Megamart Westside,18-11-2024,Meat & Seafood,Bananas,1,10,10,2,8,Small Sales,50,Low Discount,Medium,Small Order,Low Loyality
1534,Familyfood Express,02-02-2024,Health & Wellness,Onions,4,27,108,2,107,High Sales,343,Low Discount,Medium,Medium Order,Medium Loyality
1535,Megamart Westside,07-03-2024,Health & Wellness,Eggs,4,23,92,19,74,High Sales,9,Medium Discount,Medium,Medium Order,Low Loyality
1539,Corner Grocery,24-12-2023,Household Items,Milk,2,12,24,5,19,Medium Sales,332,Low Discount,Medium,Medium Order,Medium Loyality
1550,Familyfood Express,18-07-2024,Dairy,Eggs,3,9,27,4,23,Medium Sales,102,Low Discount,Low,Medium Order,Medium Loyality
1554,City Fresh Store,19-05-2025,Health & Wellness,Potatoes,3,23,69,5,64,High Sales,395,Low Discount,Medium,Medium Order,Medium Loyality
1579,Familyfood Express,09-10-2024,Produce,Potatoes,4,6,24,4,18,Medium Sales,424,Low Discount,Low,Medium Order,Premium Loyality
1590,City Fresh Store,16-05-2025,Produce,Rice,2,2,4,1,4,Small Sales,102,Low Discount,Low,Medium Order,Medium Loyality
1595,Megamart Westside,17-05-2025,Bakery,Rice,4,9,36,4,33,Medium Sales,310,Low Discount,Low,Medium Order,Medium Loyality
1601,Familyfood Express,25-07-2024,Bakery,Chicken Breast,4,7,28,0,29,Medium Sales,422,No Discount,Low,Medium Order,Premium Loyality
1602,Supersave Central,12-04-2025,Beverages,Cereal,3,17,51,8,44,High Sales,337,Medium Discount,Medium,Medium Order,Medium Loyality
1606,Supersave Central,13-11-2023,Bakery,Bread,5,20,100,20,79,High Sales,108,Medium Discount,Medium,Bulk Order,Medium Loyality
1609,Quickstop Market,30-03-2024,Frozen Foods,Bread,5,13,65,0,63,High Sales,469,No Discount,Medium,Bulk Order,Premium Loyality
1611,Familyfood Express,16-07-2025,Bakery,Cereal,4,15,60,0,60,High Sales,261,No Discount,Medium,Medium Order,Medium Loyality
1613,Supersave Central,14-08-2023,Health & Wellness,Chicken Breast,1,18,18,4,14,Small Sales,467,Low Discount,Medium,Small Order,Premium Loyality
1627,City Fresh Store,16-03-2024,Dairy,Ground Beef,2,7,14,2,11,Small Sales,441,Low Discount,Low,Medium Order,Premium Loyality
1634,Megamart Westside,03-06-2025,Bakery,Orange Juice,5,27,135,20,114,High Sales,433,Medium Discount,Medium,Bulk Order,Premium Loyality
1645,Valueplus Market,02-04-2024,Frozen Foods,Cheese,2,26,52,8,44,High Sales,93,Medium Discount,Medium,Medium Order,Low Loyality
1647,City Fresh Store,15-06-2025,Meat & Seafood,Bananas,4,13,52,8,46,High Sales,10,Medium Discount,Medium,Medium Order,Low Loyality
1651,Megamart Westside,30-11-2024,Frozen Foods,Cereal,5,18,90,18,73,High Sales,452,Medium Discount,Medium,Bulk Order,Premium Loyality
1652,Familyfood Express,23-07-2025,Health & Wellness,Potatoes,5,8,40,4,37,Medium Sales,325,Low Discount,Low,Bulk Order,Medium Loyality
1653,Greengrocer Plaza,05-07-2025,Dairy,Cereal,3,10,30,6,24,Medium Sales,308,Medium Discount,Medium,Medium Order,Medium Loyality
1659,Quickstop Market,14-03-2025,Frozen Foods,Pasta,5,30,150,30,118,High Sales,347,High Discount,Medium,Bulk Order,Medium Loyality
1660,Quickstop Market,21-01-2024,Personal Care,Bread,1,8,8,1,7,Small Sales,425,Low Discount,Low,Small Order,Premium Loyality
1672,Greengrocer Plaza,02-05-2024,Personal Care,Bananas,3,28,84,3,82,High Sales,67,Low Discount,Medium,Medium Order,Low Loyality
1674,Freshmart Downtown,08-05-2025,Beverages,Orange Juice,3,8,24,0,23,Medium Sales,217,No Discount,Low,Medium Order,Medium Loyality
1681,City Fresh Store,19-03-2025,Bakery,Apples,3,15,45,7,37,Medium Sales,235,Medium Discount,Medium,Medium Order,Medium Loyality
1686,Quickstop Market,08-04-2024,Bakery,Yogurt,5,2,10,2,10,Small Sales,9,Low Discount,Low,Bulk Order,Low Loyality
1689,Megamart Westside,17-03-2024,Dairy,Bread,1,22,22,4,18,Medium Sales,483,Low Discount,Medium,Small Order,Premium Loyality
1693,Supersave Central,10-07-2024,Canned Goods,Onions,2,14,28,5,22,Medium Sales,473,Low Discount,Medium,Medium Order,Premium Loyality
1697,Greengrocer Plaza,01-02-2024,Health & Wellness,Milk,2,21,42,2,39,Medium Sales,440,Low Discount,Medium,Medium Order,Premium Loyality
1699,Corner Grocery,30-07-2024,Frozen Foods,Salmon,3,10,30,4,25,Medium Sales,274,Low Discount,Medium,Medium Order,Medium Loyality
1710,Familyfood Express,21-02-2025,Bakery,Potatoes,4,13,52,10,41,High Sales,40,Medium Discount,Medium,Medium Order,Low Loyality
1711,City Fresh Store,23-02-2025,Bakery,Onions,2,22,44,9,35,Medium Sales,451,Medium Discount,Medium,Medium Order,Premium Loyality
1717,Supersave Central,12-04-2025,Household Items,Yogurt,3,21,63,13,50,High Sales,44,Medium Discount,Medium,Medium Order,Low Loyality
1719,City Fresh Store,22-07-2025,Personal Care,Rice,2,3,6,3,3,Small Sales,54,Low Discount,Low,Medium Order,Low Loyality
1721,Valueplus Market,03-06-2025,Bakery,Ground Beef,5,6,30,3,27,Medium Sales,353,Low Discount,Low,Bulk Order,Medium Loyality
1724,Familyfood Express,14-06-2024,Frozen Foods,Apples,2,21,42,4,38,Medium Sales,454,Low Discount,Medium,Medium Order,Premium Loyality
1725,Unknown,17-10-2024,Meat & Seafood,Rice,5,29,145,4,141,High Sales,482,Low Discount,Medium,Bulk Order,Premium Loyality
1726,Familyfood Express,06-05-2024,Snacks & Candy,Onions,2,3,6,1,6,Small Sales,394,Low Discount,Low,Medium Order,Medium Loyality
1727,Familyfood Express,07-02-2025,Produce,Chicken Breast,2,2,4,1,2,Small Sales,160,Low Discount,Low,Medium Order,Medium Loyality
1732,Corner Grocery,27-04-2025,Produce,Apples,3,22,66,7,59,High Sales,380,Medium Discount,Medium,Medium Order,Medium Loyality
1741,Corner Grocery,13-06-2024,Snacks & Candy,Tomatoes,3,12,36,4,33,Medium Sales,157,Low Discount,Medium,Medium Order,Medium Loyality
1742,Valueplus Market,06-09-2023,Frozen Foods,Potatoes,4,23,92,14,78,High Sales,309,Medium Discount,Medium,Medium Order,Medium Loyality
1744,Supersave Central,17-12-2024,Canned Goods,Tomatoes,4,7,28,3,25,Medium Sales,200,Low Discount,Low,Medium Order,Medium Loyality
1749,Corner Grocery,16-10-2024,Meat & Seafood,Tomatoes,1,14,14,1,13,Small Sales,390,Low Discount,Medium,Small Order,Medium Loyality
1753,Supersave Central,07-08-2024,Meat & Seafood,Tomatoes,4,29,116,17,97,High Sales,447,Medium Discount,Medium,Medium Order,Premium Loyality
1762,Familyfood Express,24-07-2025,Canned Goods,Orange Juice,4,3,12,2,10,Small Sales,218,Low Discount,Low,Medium Order,Medium Loyality
1771,Supersave Central,05-06-2025,Beverages,Carrots,5,18,90,4,87,High Sales,486,Low Discount,Medium,Bulk Order,Premium Loyality
1782,Freshmart Downtown,08-02-2024,Bakery,Apples,1,15,15,1,13,Small Sales,83,Low Discount,Medium,Small Order,Low Loyality
1783,Greengrocer Plaza,09-06-2025,Bakery,Salmon,4,23,92,9,84,High Sales,3,Medium Discount,Medium,Medium Order,Low Loyality
1793,Quickstop Market,11-09-2023,Frozen Foods,Carrots,3,13,39,6,34,Medium Sales,428,Medium Discount,Medium,Medium Order,Premium Loyality
1794,Unknown,22-03-2025,Beverages,Orange Juice,5,19,95,14,82,High Sales,15,Medium Discount,Medium,Bulk Order,Low Loyality
1797,Valueplus Market,13-02-2024,Health & Wellness,Rice,4,23,92,5,86,High Sales,253,Low Discount,Medium,Medium Order,Medium Loyality
1802,City Fresh Store,13-01-2025,Frozen Foods,Apples,1,9,9,4,6,Small Sales,169,Low Discount,Low,Small Order,Medium Loyality
1803,Corner Grocery,14-07-2025,Frozen Foods,Ground Beef,2,22,44,9,36,Medium Sales,226,Medium Discount,Medium,Medium Order,Medium Loyality
1815,Quickstop Market,11-01-2025,Canned Goods,Pasta,3,24,72,7,66,High Sales,130,Medium Discount,Medium,Medium Order,Medium Loyality
1821,Greengrocer Plaza,02-11-2024,Health & Wellness,Onions,2,13,26,3,24,Medium Sales,454,Low Discount,Medium,Medium Order,Premium Loyality
1822,Familyfood Express,12-10-2024,Personal Care,Cereal,3,12,36,5,31,Medium Sales,273,Low Discount,Medium,Medium Order,Medium Loyality
1823,Supersave Central,25-02-2024,Personal Care,Tomatoes,4,18,72,7,66,High Sales,294,Medium Discount,Medium,Medium Order,Medium Loyality
1828,Greengrocer Plaza,12-03-2024,Bakery,Milk,2,28,56,11,45,High Sales,64,Medium Discount,Medium,Medium Order,Low Loyality
1829,Familyfood Express,19-03-2024,Health & Wellness,Bread,2,29,58,0,58,High Sales,49,No Discount,Medium,Medium Order,Low Loyality
1831,Supersave Central,08-01-2025,Snacks & Candy,Orange Juice,1,4,4,3,1,Small Sales,251,Low Discount,Low,Small Order,Medium Loyality
1832,Freshmart Downtown,17-10-2023,Snacks & Candy,Carrots,3,8,24,5,19,Medium Sales,41,Low Discount,Low,Medium Order,Low Loyality
1838,Freshmart Downtown,22-10-2024,Dairy,Tomatoes,5,6,30,4,24,Medium Sales,390,Low Discount,Low,Bulk Order,Medium Loyality
1841,Supersave Central,19-02-2024,Household Items,Pasta,3,27,81,3,80,High Sales,468,Low Discount,Medium,Medium Order,Premium Loyality
1842,Megamart Westside,17-03-2024,Personal Care,Ground Beef,2,20,40,3,37,Medium Sales,39,Low Discount,Medium,Medium Order,Low Loyality
1845,Valueplus Market,12-01-2024,Frozen Foods,Milk,4,12,48,1,48,Medium Sales,489,Low Discount,Medium,Medium Order,Premium Loyality
1857,Valueplus Market,11-04-2025,Frozen Foods,Orange Juice,4,13,52,2,50,High Sales,471,Low Discount,Medium,Medium Order,Premium Loyality
1858,Corner Grocery,13-11-2023,Frozen Foods,Milk,5,27,135,4,132,High Sales,237,Low Discount,Medium,Bulk Order,Medium Loyality
1861,Quickstop Market,05-12-2023,Meat & Seafood,Carrots,4,1,4,1,5,Small Sales,474,Low Discount,Low,Medium Order,Premium Loyality
1862,Megamart Westside,24-12-2023,Health & Wellness,Ground Beef,5,19,95,9,84,High Sales,416,Medium Discount,Medium,Bulk Order,Premium Loyality
1872,Corner Grocery,09-06-2024,Canned Goods,Cheese,1,25,25,1,24,Medium Sales,357,Low Discount,Medium,Small Order,Medium Loyality
1878,City Fresh Store,02-12-2023,Household Items,Potatoes,1,6,6,3,3,Small Sales,206,Low Discount,Low,Small Order,Medium Loyality
1887,Supersave Central,11-01-2025,Bakery,Salmon,3,14,42,4,39,Medium Sales,341,Low Discount,Medium,Medium Order,Medium Loyality
1893,Greengrocer Plaza,09-10-2024,Frozen Foods,Tomatoes,4,15,60,4,57,High Sales,338,Low Discount,Medium,Medium Order,Medium Loyality
1894,Quickstop Market,06-04-2025,Bakery,Potatoes,3,18,54,4,51,High Sales,320,Low Discount,Medium,Medium Order,Medium Loyality
1897,Corner Grocery,12-08-2023,Snacks & Candy,Bread,5,8,40,3,34,Medium Sales,196,Low Discount,Low,Bulk Order,Medium Loyality
1901,Megamart Westside,03-04-2024,Canned Goods,Bread,3,3,9,0,9,Small Sales,69,No Discount,Low,Medium Order,Low Loyality
1907,Supersave Central,13-05-2025,Canned Goods,Ground Beef,1,19,19,5,14,Small Sales,143,Low Discount,Medium,Small Order,Medium Loyality
1911,City Fresh Store,24-07-2024,Frozen Foods,Salmon,2,28,56,2,54,High Sales,497,Low Discount,Medium,Medium Order,Premium Loyality
1916,Familyfood Express,31-01-2024,Beverages,Orange Juice,3,25,75,15,60,High Sales,446,Medium Discount,Medium,Medium Order,Premium Loyality
1919,Unknown,21-03-2024,Bakery,Yogurt,4,28,112,17,95,High Sales,294,Medium Discount,Medium,Medium Order,Medium Loyality
1920,Valueplus Market,06-05-2024,Frozen Foods,Apples,2,25,50,10,41,High Sales,354,Medium Discount,Medium,Medium Order,Medium Loyality
1924,Familyfood Express,23-11-2023,Household Items,Orange Juice,3,27,81,8,73,High Sales,419,Medium Discount,Medium,Medium Order,Premium Loyality
1931,Megamart Westside,04-09-2024,Meat & Seafood,Onions,1,18,18,0,18,Small Sales,287,No Discount,Medium,Small Order,Medium Loyality
1932,City Fresh Store,19-05-2024,Meat & Seafood,Salmon,3,6,18,0,17,Small Sales,496,No Discount,Low,Medium Order,Premium Loyality
1939,City Fresh Store,04-10-2023,Household Items,Rice,5,14,70,7,64,High Sales,172,Medium Discount,Medium,Bulk Order,Medium Loyality
1944,Corner Grocery,16-10-2024,Beverages,Carrots,2,24,48,7,40,Medium Sales,96,Medium Discount,Medium,Medium Order,Low Loyality
1945,Freshmart Downtown,14-10-2024,Household Items,Milk,2,21,42,9,34,Medium Sales,287,Medium Discount,Medium,Medium Order,Medium Loyality
1949,Valueplus Market,10-02-2024,Household Items,Rice,1,25,25,4,21,Medium Sales,151,Low Discount,Medium,Small Order,Medium Loyality
1960,Familyfood Express,12-12-2023,Dairy,Salmon,1,20,20,4,16,Medium Sales,328,Low Discount,Medium,Small Order,Medium Loyality
1962,Corner Grocery,16-09-2024,Dairy,Milk,1,26,26,4,22,Medium Sales,81,Low Discount,Medium,Small Order,Low Loyality
1964,Supersave Central,31-01-2024,Frozen Foods,Onions,1,17,17,3,14,Small Sales,47,Low Discount,Medium,Small Order,Low Loyality
1969,Valueplus Market,12-07-2025,Household Items,Apples,2,30,60,12,48,High Sales,302,Medium Discount,Medium,Medium Order,Medium Loyality
1971,Megamart Westside,09-03-2024,Frozen Foods,Cereal,1,24,24,2,21,Medium Sales,169,Low Discount,Medium,Small Order,Medium Loyality
1972,Greengrocer Plaza,22-10-2024,Dairy,Apples,5,27,135,27,110,High Sales,370,High Discount,Medium,Bulk Order,Medium Loyality
1977,Greengrocer Plaza,13-12-2023,Produce,Rice,3,14,42,4,38,Medium Sales,266,Low Discount,Medium,Medium Order,Medium Loyality
1981,City Fresh Store,07-12-2023,Canned Goods,Rice,4,19,76,8,68,High Sales,414,Medium Discount,Medium,Medium Order,Premium Loyality
1982,Corner Grocery,04-11-2024,Meat & Seafood,Cereal,3,14,42,4,38,Medium Sales,15,Low Discount,Medium,Medium Order,Low Loyality
1986,Megamart Westside,22-11-2024,Meat & Seafood,Pasta,1,9,9,2,7,Small Sales,197,Low Discount,Low,Small Order,Medium Loyality
1987,Megamart Westside,01-08-2025,Snacks & Candy,Potatoes,4,17,68,0,66,High Sales,401,No Discount,Medium,Medium Order,Premium Loyality
1990,Valueplus Market,28-11-2024,Frozen Foods,Chicken Breast,1,15,15,2,14,Small Sales,26,Low Discount,Medium,Small Order,Low Loyality
