Customer ID,Store Name,Transaction Date,Department,Product Name,Product Grouping,Department Type,Quantity,Unit_price,Total amount,Discount Amount,Final Amount,Sales Size,Loyalty Points,Discount Status,Unit Price Status,Quantity Status
1157,City Fresh Store,23-04-2024,Produce,Orange Juice,Other Items,General,1,18,18,2,16,Small Sales,188,Low Discount,Medium,Small Order
1158,City Fresh Store,01-11-2023,Produce,Tomatoes,Other Items,General,3,8,24,2,23,Medium Sales,8,Low Discount,Low,Medium Order
1166,City Fresh Store,11-09-2024,Personal Care,Onions,Other Items,General,2,4,8,1,6,Small Sales,52,Low Discount,Low,Medium Order
1172,Supersave Central,22-10-2023,Health & Wellness,Onions,Other Items,General,3,1,3,3,1,Small Sales,81,Low Discount,Low,Medium Order
1185,Megamart Westside,12-12-2023,Meat & Seafood,Milk,Dairy Product,Non-Veg,2,21,42,4,38,Medium Sales,134,Low Discount,Medium,Medium Order
1187,Megamart Westside,26-02-2024,Frozen Foods,Bread,Other Items,Food,1,26,26,0,26,Medium Sales,500,No Discount,Medium,Small Order
1188,Corner Grocery,16-01-2025,Beverages,Bananas,Other Items,Drinks,4,11,44,0,43,Medium Sales,347,No Discount,Medium,Medium Order
1195,Valueplus Market,23-09-2023,Canned Goods,Onions,Other Items,General,3,15,45,3,42,Medium Sales,497,Low Discount,Medium,Medium Order
1197,City Fresh Store,13-05-2024,Beverages,Chicken Breast,Meat,Drinks,1,8,8,2,6,Small Sales,426,Low Discount,Low,Small Order
1200,Corner Grocery,25-10-2024,Personal Care,Cheese,Dairy Product,General,5,21,105,5,100,High Sales,479,Low Discount,Medium,Bulk Order
1201,City Fresh Store,12-02-2024,Beverages,Cereal,Other Items,Drinks,4,14,56,6,52,High Sales,460,Medium Discount,Medium,Medium Order
1207,Greengrocer Plaza,06-02-2025,Canned Goods,Potatoes,Other Items,General,1,19,19,4,15,Small Sales,302,Low Discount,Medium,Small Order
1224,Megamart Westside,08-10-2024,Canned Goods,Orange Juice,Other Items,General,3,7,21,4,18,Medium Sales,385,Low Discount,Low,Medium Order
1231,Valueplus Market,06-02-2025,Personal Care,Pasta,Grains,General,3,10,30,3,26,Medium Sales,49,Low Discount,Medium,Medium Order
1241,City Fresh Store,18-10-2023,Frozen Foods,Cheese,Dairy Product,Food,1,5,5,1,4,Small Sales,484,Low Discount,Low,Small Order
1243,Corner Grocery,11-05-2024,Snacks & Candy,Milk,Dairy Product,Food,5,22,110,11,100,High Sales,194,Medium Discount,Medium,Bulk Order
1251,Megamart Westside,18-01-2024,Beverages,Bananas,Other Items,Drinks,3,10,30,2,27,Medium Sales,170,Low Discount,Medium,Medium Order
1256,Freshmart Downtown,09-02-2024,Dairy,Cereal,Other Items,Food,3,15,45,9,36,Medium Sales,314,Medium Discount,Medium,Medium Order
1266,City Fresh Store,10-05-2024,Health & Wellness,Salmon,Meat,General,5,24,120,24,98,High Sales,174,High Discount,Medium,Bulk Order
1272,Valueplus Market,19-05-2024,Snacks & Candy,Ground Beef,Meat,Food,2,8,16,1,16,Small Sales,148,Low Discount,Low,Medium Order
1274,Familyfood Express,21-09-2024,Personal Care,Cereal,Other Items,General,1,8,8,1,7,Small Sales,37,Low Discount,Low,Small Order
1282,Supersave Central,18-10-2023,Snacks & Candy,Yogurt,Dairy Product,Food,5,8,40,4,37,Medium Sales,410,Low Discount,Low,Bulk Order
1307,Greengrocer Plaza,29-07-2024,Health & Wellness,Tomatoes,Other Items,General,2,1,2,1,2,Small Sales,249,Low Discount,Low,Medium Order
1310,Greengrocer Plaza,14-07-2024,Health & Wellness,Eggs,Other Items,General,4,29,116,1,113,High Sales,218,Low Discount,Medium,Medium Order
1317,Freshmart Downtown,10-03-2025,Beverages,Onions,Other Items,Drinks,2,30,60,9,50,High Sales,52,Medium Discount,Medium,Medium Order
1319,Megamart Westside,01-11-2023,Beverages,Onions,Other Items,Drinks,5,11,55,8,47,High Sales,381,Medium Discount,Medium,Bulk Order
1320,Megamart Westside,02-06-2025,Household Items,Yogurt,Dairy Product,General,4,10,40,6,34,Medium Sales,493,Medium Discount,Medium,Medium Order
1333,Corner Grocery,01-12-2024,Snacks & Candy,Salmon,Meat,Food,1,19,19,2,17,Small Sales,450,Low Discount,Medium,Small Order
1339,Supersave Central,23-03-2025,Canned Goods,Orange Juice,Other Items,General,4,29,116,17,98,High Sales,137,Medium Discount,Medium,Medium Order
1341,Supersave Central,15-04-2024,Meat & Seafood,Milk,Dairy Product,Non-Veg,1,20,20,2,18,Medium Sales,145,Low Discount,Medium,Small Order
1349,Corner Grocery,15-09-2023,Produce,Onions,Other Items,General,3,8,24,0,23,Medium Sales,174,No Discount,Low,Medium Order
1356,Greengrocer Plaza,09-06-2024,Snacks & Candy,Cheese,Dairy Product,Food,2,13,26,4,21,Medium Sales,33,Low Discount,Medium,Medium Order
1372,Corner Grocery,25-03-2024,Meat & Seafood,Tomatoes,Other Items,Non-Veg,3,16,48,4,44,Medium Sales,223,Low Discount,Medium,Medium Order
1379,City Fresh Store,15-10-2023,Frozen Foods,Yogurt,Dairy Product,Food,2,12,24,5,19,Medium Sales,328,Low Discount,Medium,Medium Order
1387,Megamart Westside,31-12-2024,Household Items,Eggs,Other Items,General,3,26,78,8,70,High Sales,163,Medium Discount,Medium,Medium Order
1400,City Fresh Store,11-09-2023,Canned Goods,Eggs,Other Items,General,3,6,18,4,15,Small Sales,448,Low Discount,Low,Medium Order
1410,Corner Grocery,30-11-2024,Dairy,Orange Juice,Other Items,Food,4,21,84,17,68,High Sales,218,Medium Discount,Medium,Medium Order
1420,Supersave Central,28-07-2025,Beverages,Bread,Other Items,Drinks,2,12,24,2,22,Medium Sales,374,Low Discount,Medium,Medium Order
1422,Greengrocer Plaza,17-11-2023,Meat & Seafood,Salmon,Meat,Non-Veg,5,15,75,15,61,High Sales,166,Medium Discount,Medium,Bulk Order
1430,Freshmart Downtown,22-11-2024,Dairy,Bananas,Other Items,Food,2,22,44,9,35,Medium Sales,249,Medium Discount,Medium,Medium Order
1434,Quickstop Market,15-10-2024,Health & Wellness,Onions,Other Items,General,2,21,42,8,33,Medium Sales,431,Medium Discount,Medium,Medium Order
1436,Megamart Westside,24-06-2024,Health & Wellness,Cheese,Dairy Product,General,1,9,9,1,8,Small Sales,41,Low Discount,Low,Small Order
1439,Greengrocer Plaza,26-05-2025,Beverages,Apples,Other Items,Drinks,2,22,44,4,39,Medium Sales,37,Low Discount,Medium,Medium Order
1440,City Fresh Store,21-02-2025,Household Items,Salmon,Meat,General,4,6,24,2,22,Medium Sales,383,Low Discount,Low,Medium Order
1444,City Fresh Store,11-10-2023,Personal Care,Cereal,Other Items,General,5,12,60,9,52,High Sales,200,Medium Discount,Medium,Bulk Order
1452,Megamart Westside,04-11-2023,Produce,Tomatoes,Other Items,General,1,18,18,2,15,Small Sales,99,Low Discount,Medium,Small Order
1464,Valueplus Market,09-10-2023,Frozen Foods,Cereal,Other Items,Food,5,2,10,2,7,Small Sales,402,Low Discount,Low,Bulk Order
1470,Supersave Central,24-08-2024,Health & Wellness,Tomatoes,Other Items,General,1,18,18,0,18,Small Sales,31,No Discount,Medium,Small Order
1472,Unknown,08-12-2024,Household Items,Milk,Dairy Product,General,5,25,125,3,124,High Sales,154,Low Discount,Medium,Bulk Order
1474,Megamart Westside,11-09-2023,Health & Wellness,Tomatoes,Other Items,General,4,18,72,0,72,High Sales,265,No Discount,Medium,Medium Order
1475,Quickstop Market,04-06-2024,Snacks & Candy,Bread,Other Items,Food,1,25,25,4,21,Medium Sales,373,Low Discount,Medium,Small Order
1478,Valueplus Market,01-03-2025,Meat & Seafood,Tomatoes,Other Items,Non-Veg,5,29,145,14,128,High Sales,63,Medium Discount,Medium,Bulk Order
1480,Freshmart Downtown,23-04-2024,Produce,Cereal,Other Items,General,5,3,15,0,15,Small Sales,298,No Discount,Low,Bulk Order
1483,Familyfood Express,30-05-2024,Canned Goods,Rice,Grains,General,2,25,50,7,42,High Sales,265,Medium Discount,Medium,Medium Order
1488,Greengrocer Plaza,18-10-2023,Produce,Ground Beef,Meat,General,3,30,90,3,86,High Sales,437,Low Discount,Medium,Medium Order
1496,Freshmart Downtown,27-08-2024,Canned Goods,Carrots,Other Items,General,1,6,6,1,5,Small Sales,440,Low Discount,Low,Small Order
1502,Quickstop Market,17-10-2023,Produce,Potatoes,Other Items,General,5,6,30,0,29,Medium Sales,26,No Discount,Low,Bulk Order
1505,Megamart Westside,16-04-2025,Meat & Seafood,Rice,Grains,Non-Veg,3,22,66,7,60,High Sales,424,Medium Discount,Medium,Medium Order
1508,Corner Grocery,15-02-2024,Produce,Pasta,Grains,General,2,21,42,9,34,Medium Sales,67,Medium Discount,Medium,Medium Order
1510,Greengrocer Plaza,23-09-2023,Produce,Chicken Breast,Meat,General,4,30,120,4,116,High Sales,82,Low Discount,Medium,Medium Order
1514,City Fresh Store,04-06-2025,Beverages,Ground Beef,Meat,Drinks,4,17,68,3,65,High Sales,196,Low Discount,Medium,Medium Order
1519,Corner Grocery,18-10-2023,Beverages,Bananas,Other Items,Drinks,4,12,48,10,39,Medium Sales,22,Medium Discount,Medium,Medium Order
1525,Freshmart Downtown,23-04-2025,Health & Wellness,Yogurt,Dairy Product,General,4,11,44,6,36,Medium Sales,442,Medium Discount,Medium,Medium Order
1528,Valueplus Market,21-07-2024,Dairy,Salmon,Meat,Food,5,20,100,0,99,High Sales,97,No Discount,Medium,Bulk Order
1530,Megamart Westside,18-11-2024,Meat & Seafood,Bananas,Other Items,Non-Veg,1,10,10,2,8,Small Sales,50,Low Discount,Medium,Small Order
1534,Familyfood Express,02-02-2024,Health & Wellness,Onions,Other Items,General,4,27,108,2,107,High Sales,343,Low Discount,Medium,Medium Order
1535,Megamart Westside,07-03-2024,Health & Wellness,Eggs,Other Items,General,4,23,92,19,74,High Sales,9,Medium Discount,Medium,Medium Order
1539,Corner Grocery,24-12-2023,Household Items,Milk,Dairy Product,General,2,12,24,5,19,Medium Sales,332,Low Discount,Medium,Medium Order
1550,Familyfood Express,18-07-2024,Dairy,Eggs,Other Items,Food,3,9,27,4,23,Medium Sales,102,Low Discount,Low,Medium Order
1554,City Fresh Store,19-05-2025,Health & Wellness,Potatoes,Other Items,General,3,23,69,5,64,High Sales,395,Low Discount,Medium,Medium Order
1579,Familyfood Express,09-10-2024,Produce,Potatoes,Other Items,General,4,6,24,4,18,Medium Sales,424,Low Discount,Low,Medium Order
1590,City Fresh Store,16-05-2025,Produce,Rice,Grains,General,2,2,4,1,4,Small Sales,102,Low Discount,Low,Medium Order
1595,Megamart Westside,17-05-2025,Bakery,Rice,Grains,Food,4,9,36,4,33,Medium Sales,310,Low Discount,Low,Medium Order
1601,Familyfood Express,25-07-2024,Bakery,Chicken Breast,Meat,Food,4,7,28,0,29,Medium Sales,422,No Discount,Low,Medium Order
1602,Supersave Central,12-04-2025,Beverages,Cereal,Other Items,Drinks,3,17,51,8,44,High Sales,337,Medium Discount,Medium,Medium Order
1606,Supersave Central,13-11-2023,Bakery,Bread,Other Items,Food,5,20,100,20,79,High Sales,108,Medium Discount,Medium,Bulk Order
1609,Quickstop Market,30-03-2024,Frozen Foods,Bread,Other Items,Food,5,13,65,0,63,High Sales,469,No Discount,Medium,Bulk Order
1611,Familyfood Express,16-07-2025,Bakery,Cereal,Other Items,Food,4,15,60,0,60,High Sales,261,No Discount,Medium,Medium Order
1613,Supersave Central,14-08-2023,Health & Wellness,Chicken Breast,Meat,General,1,18,18,4,14,Small Sales,467,Low Discount,Medium,Small Order
1627,City Fresh Store,16-03-2024,Dairy,Ground Beef,Meat,Food,2,7,14,2,11,Small Sales,441,Low Discount,Low,Medium Order
1634,Megamart Westside,03-06-2025,Bakery,Orange Juice,Other Items,Food,5,27,135,20,114,High Sales,433,Medium Discount,Medium,Bulk Order
1645,Valueplus Market,02-04-2024,Frozen Foods,Cheese,Dairy Product,Food,2,26,52,8,44,High Sales,93,Medium Discount,Medium,Medium Order
1647,City Fresh Store,15-06-2025,Meat & Seafood,Bananas,Other Items,Non-Veg,4,13,52,8,46,High Sales,10,Medium Discount,Medium,Medium Order
1651,Megamart Westside,30-11-2024,Frozen Foods,Cereal,Other Items,Food,5,18,90,18,73,High Sales,452,Medium Discount,Medium,Bulk Order
1652,Familyfood Express,23-07-2025,Health & Wellness,Potatoes,Other Items,General,5,8,40,4,37,Medium Sales,325,Low Discount,Low,Bulk Order
1653,Greengrocer Plaza,05-07-2025,Dairy,Cereal,Other Items,Food,3,10,30,6,24,Medium Sales,308,Medium Discount,Medium,Medium Order
1659,Quickstop Market,14-03-2025,Frozen Foods,Pasta,Grains,Food,5,30,150,30,118,High Sales,347,High Discount,Medium,Bulk Order
1660,Quickstop Market,21-01-2024,Personal Care,Bread,Other Items,General,1,8,8,1,7,Small Sales,425,Low Discount,Low,Small Order
1672,Greengrocer Plaza,02-05-2024,Personal Care,Bananas,Other Items,General,3,28,84,3,82,High Sales,67,Low Discount,Medium,Medium Order
1674,Freshmart Downtown,08-05-2025,Beverages,Orange Juice,Other Items,Drinks,3,8,24,0,23,Medium Sales,217,No Discount,Low,Medium Order
1681,City Fresh Store,19-03-2025,Bakery,Apples,Other Items,Food,3,15,45,7,37,Medium Sales,235,Medium Discount,Medium,Medium Order
1686,Quickstop Market,08-04-2024,Bakery,Yogurt,Dairy Product,Food,5,2,10,2,10,Small Sales,9,Low Discount,Low,Bulk Order
1689,Megamart Westside,17-03-2024,Dairy,Bread,Other Items,Food,1,22,22,4,18,Medium Sales,483,Low Discount,Medium,Small Order
1693,Supersave Central,10-07-2024,Canned Goods,Onions,Other Items,General,2,14,28,5,22,Medium Sales,473,Low Discount,Medium,Medium Order
1697,Greengrocer Plaza,01-02-2024,Health & Wellness,Milk,Dairy Product,General,2,21,42,2,39,Medium Sales,440,Low Discount,Medium,Medium Order
1699,Corner Grocery,30-07-2024,Frozen Foods,Salmon,Meat,Food,3,10,30,4,25,Medium Sales,274,Low Discount,Medium,Medium Order
1710,Familyfood Express,21-02-2025,Bakery,Potatoes,Other Items,Food,4,13,52,10,41,High Sales,40,Medium Discount,Medium,Medium Order
1711,City Fresh Store,23-02-2025,Bakery,Onions,Other Items,Food,2,22,44,9,35,Medium Sales,451,Medium Discount,Medium,Medium Order
1717,Supersave Central,12-04-2025,Household Items,Yogurt,Dairy Product,General,3,21,63,13,50,High Sales,44,Medium Discount,Medium,Medium Order
1719,City Fresh Store,22-07-2025,Personal Care,Rice,Grains,General,2,3,6,3,3,Small Sales,54,Low Discount,Low,Medium Order
1721,Valueplus Market,03-06-2025,Bakery,Ground Beef,Meat,Food,5,6,30,3,27,Medium Sales,353,Low Discount,Low,Bulk Order
1724,Familyfood Express,14-06-2024,Frozen Foods,Apples,Other Items,Food,2,21,42,4,38,Medium Sales,454,Low Discount,Medium,Medium Order
1725,Unknown,17-10-2024,Meat & Seafood,Rice,Grains,Non-Veg,5,29,145,4,141,High Sales,482,Low Discount,Medium,Bulk Order
1726,Familyfood Express,06-05-2024,Snacks & Candy,Onions,Other Items,Food,2,3,6,1,6,Small Sales,394,Low Discount,Low,Medium Order
1727,Familyfood Express,07-02-2025,Produce,Chicken Breast,Meat,General,2,2,4,1,2,Small Sales,160,Low Discount,Low,Medium Order
1732,Corner Grocery,27-04-2025,Produce,Apples,Other Items,General,3,22,66,7,59,High Sales,380,Medium Discount,Medium,Medium Order
1741,Corner Grocery,13-06-2024,Snacks & Candy,Tomatoes,Other Items,Food,3,12,36,4,33,Medium Sales,157,Low Discount,Medium,Medium Order
1742,Valueplus Market,06-09-2023,Frozen Foods,Potatoes,Other Items,Food,4,23,92,14,78,High Sales,309,Medium Discount,Medium,Medium Order
1744,Supersave Central,17-12-2024,Canned Goods,Tomatoes,Other Items,General,4,7,28,3,25,Medium Sales,200,Low Discount,Low,Medium Order
1749,Corner Grocery,16-10-2024,Meat & Seafood,Tomatoes,Other Items,Non-Veg,1,14,14,1,13,Small Sales,390,Low Discount,Medium,Small Order
1753,Supersave Central,07-08-2024,Meat & Seafood,Tomatoes,Other Items,Non-Veg,4,29,116,17,97,High Sales,447,Medium Discount,Medium,Medium Order
1762,Familyfood Express,24-07-2025,Canned Goods,Orange Juice,Other Items,General,4,3,12,2,10,Small Sales,218,Low Discount,Low,Medium Order
1771,Supersave Central,05-06-2025,Beverages,Carrots,Other Items,Drinks,5,18,90,4,87,High Sales,486,Low Discount,Medium,Bulk Order
1782,Freshmart Downtown,08-02-2024,Bakery,Apples,Other Items,Food,1,15,15,1,13,Small Sales,83,Low Discount,Medium,Small Order
1783,Greengrocer Plaza,09-06-2025,Bakery,Salmon,Meat,Food,4,23,92,9,84,High Sales,3,Medium Discount,Medium,Medium Order
1793,Quickstop Market,11-09-2023,Frozen Foods,Carrots,Other Items,Food,3,13,39,6,34,Medium Sales,428,Medium Discount,Medium,Medium Order
1794,Unknown,22-03-2025,Beverages,Orange Juice,Other Items,Drinks,5,19,95,14,82,High Sales,15,Medium Discount,Medium,Bulk Order
1797,Valueplus Market,13-02-2024,Health & Wellness,Rice,Grains,General,4,23,92,5,86,High Sales,253,Low Discount,Medium,Medium Order
1802,City Fresh Store,13-01-2025,Frozen Foods,Apples,Other Items,Food,1,9,9,4,6,Small Sales,169,Low Discount,Low,Small Order
1803,Corner Grocery,14-07-2025,Frozen Foods,Ground Beef,Meat,Food,2,22,44,9,36,Medium Sales,226,Medium Discount,Medium,Medium Order
1815,Quickstop Market,11-01-2025,Canned Goods,Pasta,Grains,General,3,24,72,7,66,High Sales,130,Medium Discount,Medium,Medium Order
1821,Greengrocer Plaza,02-11-2024,Health & Wellness,Onions,Other Items,General,2,13,26,3,24,Medium Sales,454,Low Discount,Medium,Medium Order
1822,Familyfood Express,12-10-2024,Personal Care,Cereal,Other Items,General,3,12,36,5,31,Medium Sales,273,Low Discount,Medium,Medium Order
1823,Supersave Central,25-02-2024,Personal Care,Tomatoes,Other Items,General,4,18,72,7,66,High Sales,294,Medium Discount,Medium,Medium Order
1828,Greengrocer Plaza,12-03-2024,Bakery,Milk,Dairy Product,Food,2,28,56,11,45,High Sales,64,Medium Discount,Medium,Medium Order
1829,Familyfood Express,19-03-2024,Health & Wellness,Bread,Other Items,General,2,29,58,0,58,High Sales,49,No Discount,Medium,Medium Order
1831,Supersave Central,08-01-2025,Snacks & Candy,Orange Juice,Other Items,Food,1,4,4,3,1,Small Sales,251,Low Discount,Low,Small Order
1832,Freshmart Downtown,17-10-2023,Snacks & Candy,Carrots,Other Items,Food,3,8,24,5,19,Medium Sales,41,Low Discount,Low,Medium Order
1838,Freshmart Downtown,22-10-2024,Dairy,Tomatoes,Other Items,Food,5,6,30,4,24,Medium Sales,390,Low Discount,Low,Bulk Order
1841,Supersave Central,19-02-2024,Household Items,Pasta,Grains,General,3,27,81,3,80,High Sales,468,Low Discount,Medium,Medium Order
1842,Megamart Westside,17-03-2024,Personal Care,Ground Beef,Meat,General,2,20,40,3,37,Medium Sales,39,Low Discount,Medium,Medium Order
1845,Valueplus Market,12-01-2024,Frozen Foods,Milk,Dairy Product,Food,4,12,48,1,48,Medium Sales,489,Low Discount,Medium,Medium Order
1857,Valueplus Market,11-04-2025,Frozen Foods,Orange Juice,Other Items,Food,4,13,52,2,50,High Sales,471,Low Discount,Medium,Medium Order
1858,Corner Grocery,13-11-2023,Frozen Foods,Milk,Dairy Product,Food,5,27,135,4,132,High Sales,237,Low Discount,Medium,Bulk Order
1861,Quickstop Market,05-12-2023,Meat & Seafood,Carrots,Other Items,Non-Veg,4,1,4,1,5,Small Sales,474,Low Discount,Low,Medium Order
1862,Megamart Westside,24-12-2023,Health & Wellness,Ground Beef,Meat,General,5,19,95,9,84,High Sales,416,Medium Discount,Medium,Bulk Order
1872,Corner Grocery,09-06-2024,Canned Goods,Cheese,Dairy Product,General,1,25,25,1,24,Medium Sales,357,Low Discount,Medium,Small Order
1878,City Fresh Store,02-12-2023,Household Items,Potatoes,Other Items,General,1,6,6,3,3,Small Sales,206,Low Discount,Low,Small Order
1887,Supersave Central,11-01-2025,Bakery,Salmon,Meat,Food,3,14,42,4,39,Medium Sales,341,Low Discount,Medium,Medium Order
1893,Greengrocer Plaza,09-10-2024,Frozen Foods,Tomatoes,Other Items,Food,4,15,60,4,57,High Sales,338,Low Discount,Medium,Medium Order
1894,Quickstop Market,06-04-2025,Bakery,Potatoes,Other Items,Food,3,18,54,4,51,High Sales,320,Low Discount,Medium,Medium Order
1897,Corner Grocery,12-08-2023,Snacks & Candy,Bread,Other Items,Food,5,8,40,3,34,Medium Sales,196,Low Discount,Low,Bulk Order
1901,Megamart Westside,03-04-2024,Canned Goods,Bread,Other Items,General,3,3,9,0,9,Small Sales,69,No Discount,Low,Medium Order
1907,Supersave Central,13-05-2025,Canned Goods,Ground Beef,Meat,General,1,19,19,5,14,Small Sales,143,Low Discount,Medium,Small Order
1911,City Fresh Store,24-07-2024,Frozen Foods,Salmon,Meat,Food,2,28,56,2,54,High Sales,497,Low Discount,Medium,Medium Order
1916,Familyfood Express,31-01-2024,Beverages,Orange Juice,Other Items,Drinks,3,25,75,15,60,High Sales,446,Medium Discount,Medium,Medium Order
1919,Unknown,21-03-2024,Bakery,Yogurt,Dairy Product,Food,4,28,112,17,95,High Sales,294,Medium Discount,Medium,Medium Order
1920,Valueplus Market,06-05-2024,Frozen Foods,Apples,Other Items,Food,2,25,50,10,41,High Sales,354,Medium Discount,Medium,Medium Order
1924,Familyfood Express,23-11-2023,Household Items,Orange Juice,Other Items,General,3,27,81,8,73,High Sales,419,Medium Discount,Medium,Medium Order
1931,Megamart Westside,04-09-2024,Meat & Seafood,Onions,Other Items,Non-Veg,1,18,18,0,18,Small Sales,287,No Discount,Medium,Small Order
1932,City Fresh Store,19-05-2024,Meat & Seafood,Salmon,Meat,Non-Veg,3,6,18,0,17,Small Sales,496,No Discount,Low,Medium Order
1939,City Fresh Store,04-10-2023,Household Items,Rice,Grains,General,5,14,70,7,64,High Sales,172,Medium Discount,Medium,Bulk Order
1944,Corner Grocery,16-10-2024,Beverages,Carrots,Other Items,Drinks,2,24,48,7,40,Medium Sales,96,Medium Discount,Medium,Medium Order
1945,Freshmart Downtown,14-10-2024,Household Items,Milk,Dairy Product,General,2,21,42,9,34,Medium Sales,287,Medium Discount,Medium,Medium Order
1949,Valueplus Market,10-02-2024,Household Items,Rice,Grains,General,1,25,25,4,21,Medium Sales,151,Low Discount,Medium,Small Order
1960,Familyfood Express,12-12-2023,Dairy,Salmon,Meat,Food,1,20,20,4,16,Medium Sales,328,Low Discount,Medium,Small Order
1962,Corner Grocery,16-09-2024,Dairy,Milk,Dairy Product,Food,1,26,26,4,22,Medium Sales,81,Low Discount,Medium,Small Order
1964,Supersave Central,31-01-2024,Frozen Foods,Onions,Other Items,Food,1,17,17,3,14,Small Sales,47,Low Discount,Medium,Small Order
1969,Valueplus Market,12-07-2025,Household Items,Apples,Other Items,General,2,30,60,12,48,High Sales,302,Medium Discount,Medium,Medium Order
1971,Megamart Westside,09-03-2024,Frozen Foods,Cereal,Other Items,Food,1,24,24,2,21,Medium Sales,169,Low Discount,Medium,Small Order
1972,Greengrocer Plaza,22-10-2024,Dairy,Apples,Other Items,Food,5,27,135,27,110,High Sales,370,High Discount,Medium,Bulk Order
1977,Greengrocer Plaza,13-12-2023,Produce,Rice,Grains,General,3,14,42,4,38,Medium Sales,266,Low Discount,Medium,Medium Order
1981,City Fresh Store,07-12-2023,Canned Goods,Rice,Grains,General,4,19,76,8,68,High Sales,414,Medium Discount,Medium,Medium Order
1982,Corner Grocery,04-11-2024,Meat & Seafood,Cereal,Other Items,Non-Veg,3,14,42,4,38,Medium Sales,15,Low Discount,Medium,Medium Order
1986,Megamart Westside,22-11-2024,Meat & Seafood,Pasta,Grains,Non-Veg,1,9,9,2,7,Small Sales,197,Low Discount,Low,Small Order
1987,Megamart Westside,01-08-2025,Snacks & Candy,Potatoes,Other Items,Food,4,17,68,0,66,High Sales,401,No Discount,Medium,Medium Order
